lon,lat,unidade
-45.46929009999999,-22.9234542,etec-joao-gomes-de-araujo
-49.9489873,-21.4585437,etec-joao-jorge-geraissate-emef-prof-victor-sansoni-avanhandava
-50.02252679999999,-21.3391038,etec-joao-jorge-geraissate
-46.83899780000001,-22.4462799,etec-joao-maria-stevanatto-fatec-ogali-de-castro-pacheco
-46.83899780000001,-22.4462799,etec-joao-maria-stevanatto
-48.384197,-22.369095,etec-joaquim-ferreira-do-amaral-emef-francisco-simoes-dois-corregos
-48.5627848,-22.2934452,etec-joaquim-ferreira-do-amaral-emef-prof-eurico-accolini-bariri
-48.5627848,-22.2934452,etec-joaquim-ferreira-do-amaral
-46.5781822,-23.6375198,etec-jorge-street-ceu-parque-bristol
-46.5781822,-23.6375198,etec-jorge-street-ee-prof-a-maria-trujilo-torloni
-46.5781822,-23.6375198,etec-jorge-street-fatec-antonio-russo
-46.5781822,-23.6375198,etec-jorge-street
-46.6969678,-23.6139788,etec-jornalista-roberto-marinho
-47.8023213,-21.1693982,etec-jose-martimiano-da-silva-ee-prof-a-amelia-dos-santos-musa
-47.8023213,-21.1693982,etec-jose-martimiano-da-silva-ee-winston-churchill
-48.1527369,-21.1882885,etec-jose-martimiano-da-silva-em-arminio-giraldi-barrinha
-47.8023213,-21.1693982,etec-jose-martimiano-da-silva-fatec-de-tecnologia-deputado-waldyr-alceu-trigo
-47.8023213,-21.1693982,etec-jose-martimiano-da-silva
-46.96395705329557,-23.54446347019604,etec-jose-miguel-soares
-46.5781814,-23.5834764,etec-jose-rocha-mendes
-46.53042019999999,-23.6597726,etec-julio-de-mesquita-ee-americo-brasiliense
-46.53042019999999,-23.6597726,etec-julio-de-mesquita
-46.6109024,-23.6990115,etec-juscelino-kubitschek-de-oliveira-ceu-caminho-do-mar
-46.6109024,-23.6990115,etec-juscelino-kubitschek-de-oliveira-ee-senador-robert-kennedy
-46.6109024,-23.6990115,etec-juscelino-kubitschek-de-oliveira
-48.014996,-20.1904555,etec-laurindo-alves-de-queiroz
-46.5470962,-23.6957054,etec-lauro-gomes-ee-prof-a-cynira-pires-dos-santos
-46.5470962,-23.6957054,etec-lauro-gomes-ee-prof-carlos-pezzolo
-46.5470962,-23.6957054,etec-lauro-gomes-fatec-adib-moisees-dib
-46.5470962,-23.6957054,etec-lauro-gomes
-45.7016318,-23.1067251,etec-machado-de-assis
-46.629214,-23.4869115,etec-mandaqui
-47.4703038,-21.7078503,etec-manoel-dos-reis-araujo
-46.5630241,-23.5453942,etec-martin-luther-king-ee-joao-crispiniano-soares
-46.5630241,-23.5453942,etec-martin-luther-king
-47.2901751,-23.2874925,etec-martinho-di-ciero-fatec-dom-amauri-castanho
-47.2901751,-23.2874925,etec-martinho-di-ciero
-49.648234,-22.2085745,etec-monsenhor-antonio-magliano-fatec-deputado-julio-julinho-marcondes-de-moura
-49.648234,-22.2085745,etec-monsenhor-antonio-magliano
-49.4734823,-23.0138429,etec-orlando-quagliato-emef-dr-antonio-carlos-de-abreu-sodre-bernardino-de-campos
-49.5245239,-22.8173607,etec-orlando-quagliato
-45.1282658,-22.7322738,etec-padre-carlos-leoncio-da-silva
-49.70036349999999,-20.7669878,etec-padre-jose-nunes-dias
-46.5855077,-23.5354007,etec-parque-belem
-46.623938,-23.5087,etec-parque-da-juventude-ceu-jacana
-46.623938,-23.5087,etec-parque-da-juventude-emefm-prof-derville-allegretti
-46.623938,-23.5087,etec-parque-da-juventude
-47.87948,-22.0144337,etec-paulino-botelho-fatec-de-sao-carlos
-47.87948,-22.0144337,etec-paulino-botelho
-46.7139593,-23.4631739,etec-paulistano-ceu-jardim-paulistano
-46.7139593,-23.4631739,etec-paulistano
-46.7145316,-23.3754693,etec-paulo-do-carmo-monteiro
-49.8327883,-22.2502571,etec-paulo-guerreiro-franco
-47.8621156,-20.5886455,etec-pedro-badran
-50.5822054,-22.7478588,etec-pedro-darcadia-neto-polo-universitario-odila-guedes-ribeiro-taruma
-50.4240021,-22.6698719,etec-pedro-darcadia-neto
-47.1731204,-22.3318007,etec-pedro-ferreira-alves-emef-alonso-ferreira-de-camargo-conchal
-46.9512417,-22.4255079,etec-pedro-ferreira-alves-fatec-arthur-de-azevedo
-46.9512417,-22.4255079,etec-pedro-ferreira-alves
-49.37653719999999,-20.8126993,etec-philadelpho-gouvea-netto-centro-de-qualificacao-profissional-e-emprego-sao-jose-do-rio-preto
-49.4040825,-20.8109603,etec-philadelpho-gouvea-netto
-47.3501613,-22.7396868,etec-polivalente-de-americana-fatec-ministro-ralph-biasi
-47.3147128,-22.7354322,etec-polivalente-de-americana
-47.3966488,-22.3561235,etec-prefeito-alberto-feres-ee-dr-cesario-coimbra
-47.3966488,-22.3561235,etec-prefeito-alberto-feres-faculdade-de-tecnologia-antonio-brambilla
-47.3966488,-22.3561235,etec-prefeito-alberto-feres
-46.8998271,-23.5281194,etec-prefeito-braz-paschoalin
-49.1662641,-23.092786,etec-prefeito-jose-esteves
-46.1845378,-23.5242929,etec-presidente-vargas
-46.5235001,-23.5806819,etec-professor-adhemar-batista-hemeritas-ceu-formosa
-46.5235001,-23.5806819,etec-professor-adhemar-batista-hemeritas
-51.1709373,-22.148766,etec-professor-adolpho-arruda-mello-em-francisco-marques-bonilha-martinopolis
-51.4740895,-22.078227,etec-professor-adolpho-arruda-mello-emeif-alvares-machado-alvares-machado
-51.4997289,-22.2764182,etec-professor-adolpho-arruda-mello-emeif-professor-celestino-martins-padovan-pirapozinho
-51.38731989999999,-22.1207836,etec-professor-adolpho-arruda-mello-fatec-de-presidente-prudente
-51.38958438755814,-22.12247429678103,etec-professor-adolpho-arruda-mello
-47.8911342,-20.7152043,etec-professor-alcidio-de-souza-prado
-45.2004312,-22.800673,etec-professor-alfredo-de-barros-santos-faculdade-de-tecnologia-joao-mod
-45.2004312,-22.800673,etec-professor-alfredo-de-barros-santos
-40.0751547,-18.9057387,etec-professor-andre-bogasian-ceu-jaguare
-46.77826899999999,-23.5248286,etec-professor-andre-bogasian
-46.5391507,-23.5310274,etec-professor-aprigio-gonzaga-ceu-quinta-do-sol
-46.5554139,-23.4757001,etec-professor-aprigio-gonzaga-ee-coronel-ary-gomes
-46.5420584,-23.5151913,etec-professor-aprigio-gonzaga-ee-esther-frankel-sampaio
-46.5391507,-23.5310274,etec-professor-aprigio-gonzaga
-47.56088769999999,-22.4163777,etec-professor-armando-bayeux-da-silva-ee-joaquim-ribeiro
-47.561858,-22.4124893,etec-professor-armando-bayeux-da-silva
-50.2420595,-20.2806135,etec-professor-armando-jose-farinazzo
-46.7277865,-23.5208186,etec-professor-basilides-de-godoy-ceu-parque-anhanguera
-46.7277865,-23.5208186,etec-professor-basilides-de-godoy
-46.59794240000001,-23.5532296,etec-professor-camargo-aranha
-47.39881507068084,-20.46868327767826,etec-professor-carmelino-correa-junior-fatec-dr-thomaz-novelino
-47.39881507068084,-20.46868327767826,etec-professor-carmelino-correa-junior
-46.581356,-23.1185567,etec-professor-carmine-biagio-tundisi
-51.4065608,-22.1234284,etec-professor-doutor-antonio-eufrasio-toledo-fatec-de-presidente-prudente
-51.37545874522809,-22.175108720871897,etec-professor-doutor-antonio-eufrasio-toledo
-47.3815239,-22.7332472,etec-professor-doutor-jose-dagnoni
-47.9885387,-23.8880449,etec-professor-edson-galvao-emeif-arani-jose-da-silva-sao-miguel-arcanjo
-47.89613259999999,-23.5516538,etec-professor-edson-galvao-emeif-luciano-jose-ramos-alambari
-48.03608029999999,-23.5823667,etec-professor-edson-galvao-escola-de-ensino-fundamental-santo-tomas-de-aquino-itapetininga
-48.0380289,-23.4705322,etec-professor-edson-galvao
-47.4414853,-23.5564309,etec-professor-elias-miguel-junior-ee-comendador-pereira-inacio
-47.4414853,-23.5564309,etec-professor-elias-miguel-junior-fatec-de-votorantim
-47.4414853,-23.5564309,etec-professor-elias-miguel-junior
-51.06981,-21.6778431,etec-professor-eudecio-luiz-vicente-fatec-de-adamantina
-51.06976708756903,-21.677853050177024,etec-professor-eudecio-luiz-vicente
-48.932148702875985,-23.117243562992737,etec-professor-fausto-mazzola
-47.5661582,-21.46648,etec-professor-francisco-dos-santos
-46.5964085,-23.5194775,etec-professor-horacio-augusto-da-silveira-ee-albino-cesar
-46.59636558752338,-23.519487316354933,etec-professor-horacio-augusto-da-silveira-ee-professora-carmosina-monteiro-vianna
-46.5964085,-23.5194775,etec-professor-horacio-augusto-da-silveira
-48.4722679,-20.8882546,etec-professor-idio-zucchi-fundacao-coopercitrus-credicitrus-bebedouro
-48.50603003176444,-20.934466821931608,etec-professor-idio-zucchi
-47.6224576,-21.9084711,etec-professor-jadyr-salles
-51.6466996,-22.9667126,etec-professor-jose-carlos-seno-junior-emeb-profa-mercia-julia-barbosa-velho-guaraci
-48.91131516060426,-20.746803347077,etec-professor-jose-carlos-seno-junior
-47.790079560613975,-20.329352544446003,etec-professor-jose-ignacio-azevedo-filho
-44.9560976,-22.5857024,etec-professor-jose-santana-de-castro
-50.3743972,-22.743103,etec-professor-luiz-pires-barbosa
-45.201339,-22.5948512,etec-professor-marcos-uchoas-dos-santos-penchel-escola-municipal-antonio-joao-piquete
-45.012915,-22.663195,etec-professor-marcos-uchoas-dos-santos-penchel
-50.207773,-22.7905001,etec-professor-mario-antonio-verza
-50.5271041,-21.938607,etec-professor-massuyuki-kawano
-49.5099922,-20.8208897,etec-professor-matheus-leite-de-abreu
-51.6536352,-21.9761509,etec-professor-milton-gazzetti-emef-enrico-bertoni-santo-anastacio
-51.854917,-21.8642415,etec-professor-milton-gazzetti
-49.7829227,-23.0070045,etec-professor-pedro-leme-brisolla-sobrinho-emef-luiz-gimenez-canitar
-49.70861619999999,-23.040667,etec-professor-pedro-leme-brisolla-sobrinho-emef-olegario-bueno-chavantes
-49.630396658699794,-23.054227835200592,etec-professor-pedro-leme-brisolla-sobrinho
-46.8908044,-21.6137588,etec-professor-rodolpho-jose-del-guerra
-48.7825064,-22.1936883,etec-professor-urias-ferreira-centro-de-treinamento-professora-djanir-sgavioli-sin-boraceia
-40.64902439999999,-20.8040572,etec-professor-urias-ferreira-ee-anchieta
-48.6160392,-22.1878651,etec-professor-urias-ferreira
-48.4952696,-21.8356149,etec-professora-anna-de-oliveira-ferraz-emef-martha-ferreira-da-cruz-gaviao-peixoto
-48.1776635,-21.7863822,etec-professora-anna-de-oliveira-ferraz
-51.7519839,-21.3528614,etec-professora-carmelina-barbosa-ee-ministro-oscar-pedroso-horta-santa-mercedes
-51.4373487,-21.5101659,etec-professora-carmelina-barbosa-em-professor-jair-luiz-da-silva-junqueiropolis
-51.5804901,-21.4499492,etec-professora-carmelina-barbosa
-46.7503951,-23.4365908,etec-professora-doutora-doroti-quiomi-kanashiro-toyohara-ceu-pera-marmelo
-46.72455,-23.4845282,etec-professora-doutora-doroti-quiomi-kanashiro-toyohara
-46.9175769568407,-23.44764652153393,etec-professora-ermelinda-giannini-teixeira
-49.85995459999999,-21.5349037,etec-professora-helcy-moreira-martins-aguiar-emef-colegio-xavier-promissao
-49.61702487407272,-21.80380729612248,etec-professora-helcy-moreira-martins-aguiar
-45.8881691,-23.2307054,etec-professora-ilza-nascimento-pintus-ee-prof-jose-vieira-macedo
-45.90677050000001,-23.219912,etec-professora-ilza-nascimento-pintus
-46.3318938,-23.3859907,etec-professora-luzia-maria-machado
-46.4140284586831,-23.703969483923224,etec-professora-maria-cristina-medeiros
-49.0729871,-21.6219061,etec-professora-marines-teodoro-de-freitas-almeida-emeif-profa-ana-rosa-borborema
-49.2255869299029,-21.465718364938297,etec-professora-marines-teodoro-de-freitas-almeida
-49.2246518,-21.4649748,etec-professora-marines-teodoro-de-freitas-emef-manoel-roque-novo-horizonte
-52.1618282,-22.5333286,etec-professora-nair-luccas-ribeiro
-49.2456502605367,-23.531068932158185,etec-professora-terezinha-monteiro-dos-santos
-46.79831660000001,-23.5876612,etec-raposo-tavares
-49.0733621,-22.3297171,etec-rodrigues-de-abreu-ee-ernesto-monte
-49.0733621,-22.3297171,etec-rodrigues-de-abreu-fatec-de-bauru
-49.0733621,-22.3297171,etec-rodrigues-de-abreu
-46.7932656,-22.8821197,etec-rosa-perrone-scavone-emef-antonio-rodrigues-da-silva-morungaba
-46.8464324,-23.008049,etec-rosa-perrone-scavone
-47.45613170000001,-23.5076881,etec-rubens-de-faria-e-souza
-47.84550369999999,-23.3465157,etec-sales-gomes-fatec-professor-wilson-roberto-ribeiro-de-camargo
-47.6898918,-23.3504027,etec-sales-gomes-ipero
-47.84550369999999,-23.3465157,etec-sales-gomes
-46.6371203,-23.5383112,etec-santa-ifigenia
-46.4996333,-23.5788038,etec-sao-mateus
-51.32071759999999,-20.9738224,etec-sebastiana-augusta-de-moraes-ee-alice-marques-da-silva-rocha
-51.32071759999999,-20.9738224,etec-sebastiana-augusta-de-moraes-ee-dona-noemia-dias-perotti
-51.32071759999999,-20.9738224,etec-sebastiana-augusta-de-moraes-ee-vicente-barbosa
-51.3858222,-20.9102649,etec-sebastiana-augusta-de-moraes-em-fundacao-educacional-de-andradina-andradina
-51.32071759999999,-20.9738224,etec-sebastiana-augusta-de-moraes
-46.6473071,-23.5329093,etec-sebrae
-48.3677099,-21.604093,etec-sylvio-de-mattos-carvalho
-46.6442002,-23.7047679,etec-takashi-morita-ceu-alvarenga
-46.7243151,-23.828783,etec-takashi-morita-ceu-parelheiros
-46.71499650313746,-23.650980131563227,etec-takashi-morita
-47.4414324,-21.998562,etec-tenente-aviador-gustavo-klug
-46.48172599999999,-23.551482,etec-tereza-aparecida-cardoso-nunes-de-oliveira-faculdade-de-tecnologia-de-itaquera-professor-miguel-reale
-46.48172599999999,-23.551482,etec-tereza-aparecida-cardoso-nunes-de-oliveira
-47.4074952,-22.566735,etec-trajano-camargo
-46.790472,-23.6009705,etec-uirapuru
-47.0559072,-23.1507067,etec-vasco-antonio-venchiarutti-cemeb-victoria-comodo-raymundo-fernandes-itupeva
-46.8734361,-23.2363865,etec-vasco-antonio-venchiarutti
-48.82612517407392,-21.754625762622982,etec-vereador-e-vice-prefeito-sergio-da-fonseca
-49.3487744,-23.1927385,etec-waldyr-duron-junior
-46.475812,-23.5231922,etec-zona-leste-ceu-azul-da-cor-do-mar
-46.475812,-23.5231922,etec-zona-leste-ceu-parque-sao-carlos
-46.475812,-23.5231922,etec-zona-leste-ceu-sao-miguel-luiz-melodia
-46.475812,-23.5231922,etec-zona-leste-fatec-zona-leste
-46.475812,-23.5231922,etec-zona-leste
